varenummer;navn;varetype;pris;rangering;kommentar
7371701;Palladino Nebbiolo d'Alba 2023;Rødvin;Kr 329,00;;
5324901;Ch. du Cèdre Cahors 2022;Rødvin;Kr 281,20;;
20357801;A. Brumont Torus Madiran 2022;Rødvin;Kr 226,90;;
20341101;Wither Hills Marlborough Pinot Noir 2025;Rødvin;Kr 200,90;;
20302901;Colomé El Camino Tannat 2024;Rødvin;Kr 349,90;;
20290601;Puelles Tempranillo 2023;Rødvin;Kr 219,00;;
20254001;Camigliano Rosso di Montalcino 2024;Rødvin;Kr 289,90;;
20133801;Peña el Gato Garnacha 2022;Rødvin;Kr 340,80;;
18736001;Sierra de Toloño Tempranillo 2023;Rødvin;Kr 234,90;;
13692901;Bread & Butter Cabernet Sauvignon;Rødvin;Kr 259,00;;
20128801;Saam The Collaboration Series Pinotage 2024;Rødvin;Kr 189,90;;
20061801;Moraine Pinot Noir 2022;Rødvin;Kr 337,00;;
5077101;Jean-Paul Brun L'Ancien Beaujolais 2023;Rødvin;Kr 269,90;;
5922901;Michele Chiarlo Le Orme Barbera d'Asti Superiore 2023;Rødvin;Kr 269,90;;
5541402;Louis Latour Bourgogne Pinot Noir 2023;Rødvin;Kr 164,90;;
677601;Joseph Faiveley Bourgogne Pinot Noir 2023;Rødvin;Kr 349,90;;
3463701;Ch. Coufran 2010;Rødvin;Kr 349,90;;
3337001;Ch. Lafitte-Tramier 2015;Rødvin;Kr 349,90;;
2246501;Terre Nere Etna Rosso 2024;Rødvin;Kr 349,90;;
19910001;Donkiesbaai Cinsault 2023;Rødvin;Kr 349,90;;
12800401;Lieu Dit Cabernet Franc 2023;Rødvin;Kr 349,90;;
19623601;David Givaudan Saint Joseph 2024;Rødvin;Kr 349,90;;
19866701;Jean-Claude Boisset Bourgogne Hautes-Côtes de Nuits Dames Huguettes 2023;Rødvin;Kr 349,90;;
19396201;Dancing Water Artist Series Pinot Noir 2024;Rødvin;Kr 345,90;;
11441201;Thymiopoulos Terre Et Ciel Xinomavro 2023;Rødvin;Kr 349,00;;
20251801;Timo Mayer Bloody Hill Pinot Noir 2024;Rødvin;Kr 349,90;;
4399301;Seghesio Sonoma Zinfandel 2023;Rødvin;Kr 344,90;;
2883601;Fenocchio Barbaresco;Rødvin;Kr 344,90;;
3203301;Guigal Gigondas 2021;Rødvin;Kr 339,90;;
4514001;Dom. du Vieux Lazaret Châteauneuf-du-Pape 2023;Rødvin;Kr 339,90;;
9494401;Cavas de Weinert Gran Vino 2012;Rødvin;Kr 339,90;;
5121301;Contino Reserva 2021;Rødvin;Kr 334,90;;
17475301;Helen & Joey Alena Yarra Valley Shiraz 2022;Rødvin;Kr 339,90;;
19267301;Nestor Gallus Central Otago Pinot Noir 2024;Rødvin;Kr 334,90;;
18684801;Costers del Priorat Rocafosca 2022;Rødvin;Kr 334,90;;
5873201;Occhipinti SP 68 Rosso 2024;Rødvin;Kr 329,90;;
5117501;Foillard Morgon 2023;Rødvin;Kr 329,90;;
5961401;Emilio Moro 2022;Rødvin;Kr 325,00;;
12024301;Filipa Pato Post Quer..s Baga 2024;Rødvin;Kr 325,00;;
14190401;Dom. La Suffrene Bandol;Rødvin;Kr 329,90;;
15056801;Landerer Oberrotweiler Schwarze Erde Pinot Noir 2023;Rødvin;Kr 329,90;;
2852501;Ca'Vendri Amarone della Valpolicella 2022;Rødvin;Kr 329,90;;
3098901;Muga Reserva 2022;Rødvin;Kr 329,90;;
3278801;Fontodi Chianti Classico 2022;Rødvin;Kr 329,90;;
9390701;Ch. Brun 2020;Rødvin;Kr 324,90;;
3171201;Louis Jadot Bourgogne Couvent des Jacobins Pinot Noir 2023;Rødvin;Kr 324,90;;
9965601;Chacra Barda Pinot Noir 2025;Rødvin;Kr 319,90;;
11232501;Land of Saints San Luis Obispo Pinot Noir 2023;Rødvin;Kr 319,90;;
1991101;Viña Cubillo Crianza 2017;Rødvin;Kr 319,90;;
5373301;Terroir Històric 2023;Rødvin;Kr 319,90;;
6962601;Cant. Terlano Pinot Noir 2025;Rødvin;Kr 319,30;;
9955601;Scarpa Barbera d'Asti I Bricchi 2023;Rødvin;Kr 315,00;;
9382001;Castell'in Villa Mitt Toscana 2015;Rødvin;Kr 315,00;;
18900401;El Bayeh Finca Ollantay Malbec 2023;Rødvin;Kr 310,60;;
10158801;Benito Ferrara Vigna Quattro Confini Irpinia Aglianico 2021;Rødvin;Kr 311,20;;
5869201;Antiche Terre Amarone della Valpolicella 2022;Rødvin;Kr 315,00;;
4582301;Guigal Crozes-Hermitage 2021;Rødvin;Kr 309,90;;
2773501;Kir-Yianni Ramnista Xinomavro Single Vineyard 2020;Rødvin;Kr 309,90;;
161801;Ioppa Ghemme 2017;Rødvin;Kr 309,90;;
10106501;Reverdy & Fils La Villaudiere Sancerre;Rødvin;Kr 309,90;;
7724701;Innocenzo Turco Granaccia 2015;Rødvin;Kr 306,50;;
7824201;Ch. Simard 2011;Rødvin;Kr 304,90;;
704501;Corsignano La Coppia Chianti Classico 2021;Rødvin;Kr 302,00;;
10325701;Vicchiomaggio Agostino Petri Chianti Classico Riserva;Rødvin;Kr 301,90;;
5959501;Dominio do Bibei Lalama 2022;Rødvin;Kr 300,00;;
4612201;Valpantena Amarone della Valpolicella 2022;Rødvin;Kr 300,00;;
4766401;Travaglini Gattinara 2021;Rødvin;Kr 300,00;;
4992501;Castell'in Villa Chianti Classico 2020;Rødvin;Kr 300,00;;
1806601;Produttori dei Colli Barolo 2022;Rødvin;Kr 300,00;;
977201;Elgin Vintners Pinot Noir 2022;Rødvin;Kr 299,90;;
9523601;COS Cerasuolo di Vittoria Classico 2022;Rødvin;Kr 299,90;;
9111501;Vincent Girardin Terroir Noble Bourgogne Pinot Noir 2024;Rødvin;Kr 299,90;;
67801;Faustino I Gran Reserva 2016;Rødvin;Kr 299,90;;
5045301;Colombier Crozes Hermitage 2024;Rødvin;Kr 299,90;;
4285801;Pio Cesare Barbera d'Alba 2023;Rødvin;Kr 299,90;;
4235401;Capitel de Roari Amarone della Valpolicella Classico;Rødvin;Kr 299,90;;
3377901;Baron de Ley Gran Reserva 2019;Rødvin;Kr 299,90;;
19676101;Hewitson The Mad Hatter Shiraz 2023;Rødvin;Kr 299,90;;
19135201;Heribert Boch Pinot Noir 2024;Rødvin;Kr 299,90;;
18914001;Longplay Explicit Lyrics Pinot Noir;Rødvin;Kr 299,90;;
